match_id,player_id,player_name,team_id,runs_conceded,total_overs,economy,dots,wickets,fours,sixes,wide,no_balls
335982,30732,Praveen Kumar,Royal Challengers Bangalore,38,4,9.50,13,0,3,3,1,0
335982,30102,Zaheer Khan,Royal Challengers Bangalore,38,4,9.50,8,1,3,2,0,0
335982,6938,Ashley Noffke,Royal Challengers Bangalore,40,4,10.00,7,1,2,2,1,0
335982,45789,Jacques Kallis,Royal Challengers Bangalore,48,4,12.00,9,1,5,3,1,0
335982,29725,Sunil Joshi,Royal Challengers Bangalore,26,3,8.66,4,0,0,2,0,0
335982,8291,Cameron White,Royal Challengers Bangalore,24,1,24.00,0,0,2,2,1,0
335982,227712,Ashok Dinda,Kolkata Knight Riders,9,3,3.00,11,2,0,0,2,0
335982,236779,Ishant Sharma,Kolkata Knight Riders,7,3,2.33,13,1,0,0,1,0
335982,26184,Ajit Agarkar,Kolkata Knight Riders,25,4,6.25,15,3,2,1,4,0
335982,28779,Sourav Ganguly,Kolkata Knight Riders,21,4,5.25,13,2,1,1,1,0
335982,34019,Laxmi Shukla,Kolkata Knight Riders,12,1.1,10.28,3,1,0,1,2,0
335983,6278,Brett Lee,Kings XI Punjab,35,4,8.75,12,1,5,1,0,1
335983,34274,Sreesanth,Kings XI Punjab,35,3,11.66,5,0,5,1,1,0
335983,5702,James Hopes,Kings XI Punjab,53,4,13.25,8,1,2,6,0,0
335983,32685,Irfan Pathan,Kings XI Punjab,47,4,11.75,6,2,4,3,0,0
335983,28997,Karan Goel,Kings XI Punjab,25,2,12.50,2,0,1,2,0,0
335983,32966,Piyush Chawla,Kings XI Punjab,19,1,19.00,1,0,1,2,0,0
335983,31041,Wilkin Mota,Kings XI Punjab,24,2,12.00,2,1,2,1,2,0
335983,38062,Jacob Oram,Chennai Super Kings,37,4,9.25,6,0,6,0,0,0
335983,317293,Manpreet Gony,Chennai Super Kings,42,4,10.50,7,1,2,3,2,0
335983,49636,Muthiah Muralidaran,Chennai Super Kings,33,4,8.25,7,1,1,2,1,0
335983,290629,Palani Amarnath,Chennai Super Kings,42,4,10.50,4,1,5,1,0,0
335983,29976,Joginder Sharma,Chennai Super Kings,47,4,11.75,5,1,4,3,1,0
335984,6565,Glenn McGrath,Delhi Daredevils,21,4,5.25,16,1,2,1,1,0
335984,5472,Brett Geeves,Delhi Daredevils,41,4,10.25,8,0,7,0,0,0
335984,49638,Farveez Maharoof,Delhi Daredevils,11,4,2.75,13,2,0,0,0,0
335984,26907,Rajat Bhatia,Delhi Daredevils,17,4,4.25,13,2,1,0,1,0
335984,38710,Daniel Vettori,Delhi Daredevils,35,4,8.75,8,1,3,2,0,0
335984,32965,Munaf Patel,Rajasthan Royals,25,3,8.33,10,0,4,1,0,0
335984,8180,Shane Watson,Rajasthan Royals,31,4,7.75,9,1,5,0,1,0
335984,35353,Siddharth Trivedi,Rajasthan Royals,32,3,10.66,6,0,5,0,3,0
335984,8166,Shane Warne,Rajasthan Royals,16,2,8.00,2,0,2,0,0,0
335984,32498,Yusuf Pathan,Rajasthan Royals,17,2.1,7.84,4,0,2,0,1,0
335984,278482,Dinesh Salunkhe,Rajasthan Royals,11,1,11.00,0,0,0,0,1,0
335986,227712,Ashok Dinda,Kolkata Knight Riders,18,3,6.00,9,1,1,0,0,1
335986,236779,Ishant Sharma,Kolkata Knight Riders,9,3,3.00,13,1,0,0,3,0
335986,26184,Ajit Agarkar,Kolkata Knight Riders,19,2,9.50,6,2,1,2,0,0
335986,30049,Murali Kartik,Kolkata Knight Riders,17,3.4,4.63,14,3,3,0,0,0
335986,41434,Mohammad Hafeez,Kolkata Knight Riders,8,4,2.00,17,1,0,0,0,1
335986,5766,David Hussey,Kolkata Knight Riders,35,3,11.66,7,1,1,4,1,0
335986,50804,Chaminda Vaas,Deccan Chargers,9,3,3.00,12,2,1,0,0,0
335986,35280,RP Singh,Deccan Chargers,15,3,5.00,10,1,2,0,0,0
335986,38407,Scott Styris,Deccan Chargers,19,4,4.75,15,0,1,1,1,0
335986,27225,Sanjay Bangar,Deccan Chargers,19,3,6.33,13,0,1,1,2,0
335986,7702,Andrew Symonds,Deccan Chargers,20,2,10.00,4,0,0,1,2,1
335986,32130,Pragyan Ojha,Deccan Chargers,18,4,4.50,13,2,0,1,2,0
